class_id,class_name,pixel_count,pixel_percent,appears_in_images
0,unlabeled,2972213264,28.34523452758789,2450
1,ego vehicle,480622328,4.583571701049805,5000
3,out of roi,158170000,1.5084266662597656,5000
4,static,99402231,0.9479735469818116,3443
5,dynamic,22268576,0.21236968994140626,1629
7,road,2381680967,22.713479681015016,3418
8,sidewalk,385659445,3.677935075759888,3277
11,building,1461641548,13.939300041198731,3425
12,wall,42917813,0.4092961597442627,1172
17,pole,81355164,0.7758633041381836,3440
19,traffic light,13285481,0.12670022010803222,1949
20,traffic sign,36546566,0.34853521347045896,3281
21,vegetation,1038651996,9.905357322692872,3377
22,terrain,71574562,0.6825882148742676,1895
23,sky,252744993,2.4103640842437746,3128
24,person,79239848,0.7556900787353515,2745
25,rider,9438758,0.09001501083374024,1276
26,car,446059503,4.2539549160003665,3311
33,bicycle,29365708,0.2800532150268555,1991
6,ground,94306630,0.8993781089782715,1262
13,fence,55975907,0.5338278484344482,1485
31,train,13895603,0.13251879692077637,164
27,truck,17532539,0.1672033214569092,439
32,motorcycle,6178567,0.05892340660095215,606
9,parking,43216528,0.41214492797851565,831
28,bus,16553410,0.15786561965942383,349
15,bridge,18172370,0.17330522537231446,247
29,caravan,2546786,0.02428804397583008,67
18,polegroup,578047,0.005512685775756836,260
16,tunnel,3362825,0.03207039833068848,25
14,guard rail,586040,0.005588912963867187,20
30,trailer,1501661,0.014320955276489258,85
2,rectification border,136636712,1.3030692291259767,1844
10,rail track,11877624,0.11327384948730469,116
